number	skill_id	name
57	798	Programming
45	306	Product Design
27	1072	Graphic Design
23	619	Javascript
11	168	Venture Capital
11	34	Growth Hacking
10	59	SEO
7	116	Fundraising
7	419	Artificial Intelligence
6	91	Business Development
6	1160	Business
5	43	Marketing Strategy
5	800	Python
5	62	Social Media Marketing
5	169	Venture Financing
4	655	Machine Learning
4	107	Entrepreneurship
4	284	Manufacturing Design
4	1129	UX/UI Design
4	11	Branding
3	1044	Computer Graphics
3	81	Analytics
3	395	Android
3	1010	Adobe Photoshop
3	119	Human Resources
3	811	React.js
3	1171	Content Writing
3	397	Angular.js
3	46	Mobile Advertising
3	102	Crowdfunding
3	272	Industrial Design
3	54	Public Relations
3	613	iOS
3	1100	Photography
2	803	QA Testing
2	1169	Communication
2	251	Electrical Engineering
2	961	WordPress
2	829	Ruby on Rails
2	5	Advertising Strategy
2	405	App Store
2	686	MongoDB
2	207	3D Printing
2	535	Ecommerce
2	862	Social Networking Development
2	1074	Illustration
2	1244	Script Writing
2	797	Product Management
2	941	Web Programming
2	42	Marketing
2	159	Startups
2	1060	Fashion
2	4	Advertising
2	90	Business Angels
2	679	Mobile App Testing
2	530	Drupal
2	777	Php
2	986	3D Modelling
2	1133	Video Production
2	569	GitHub
2	30	Google analytics
2	1015	Animation
2	1142	Web Development
2	241	Computer Engineering
2	939	Web Hosting
2	145	Project Management
1	492	CSS
1	1128	User Interface Design
1	507	Data Science
1	1061	Fashion Design
1	1173	Copywriting
1	258	Engineering Design
1	966	Xcode
1	1132	Video Editing
1	50	Other - Sales and Marketing
1	19	Digital Marketing
1	409	Application Framework
1	1141	Web Design
1	56	Sales
1	236	Circuit Design
1	314	Robotics
1	592	HTML
1	935	Web Application Framework
1	1094	Music Composition
1	432	Big Data
1	1017	Architecture
1	246	Digital Electronics
1	372	Video Upload
1	1127	User Experience Design
1	498	Data Engineering
1	257	Embedded Systems
1	962	Workspace Service
1	861	Social Network & Community Development
1	1183	English
1	408	Application Development
1	210	3D Technology
1	866	Software Engineering
1	1092	Motion Graphics
1	345	Customer Service
1	41	Market Research
